price,count,add_cost,company,product
114.2,97,13.86,AudioMasters,Headphones Elite
868.85,61,85.27,HomeSystems,"Smart TV 50"""
835.79,50,39.79,GadgetWorld,Wireless Earbuds Max
233.66,82,17.79,AudioMasters,Headphones Pro
306.3,83,20.71,GadgetWorld,Wireless Earbuds Max
523.95,54,50.83,HomeSystems,"Smart TV 55"""
83.75,90,12.01,OfficePlus,Mouse Wireless
204.05,90,7.32,AudioMasters,Headphones Travel
884.92,49,66.61,ElectroTech,Smartphone X203
845.44,55,66.34,OfficePlus,Mouse Ergo
386.41,87,50.15,AudioMasters,Headphones Elite
295.32,74,26.74,GadgetWorld,Wireless Earbuds Pro
694.33,72,102.97,ElectroTech,Smartphone X208
712.72,71,81.8,HomeSystems,"Smart TV 50"""
916.66,53,119.63,GadgetWorld,Wireless Earbuds Pro
599.47,71,33.4,OfficePlus,Mouse Ergo
727.29,58,36.86,HomeSystems,"Smart TV 32"""
450.55,91,20.83,GadgetWorld,Wireless Earbuds Lite
701.61,67,26.74,OfficePlus,Mouse Compact
944.0,57,92.37,OfficePlus,Mouse Compact
309.72,83,10.44,GadgetWorld,Wireless Earbuds Pro
359.15,70,22.33,AudioMasters,Headphones Pro
741.18,73,93.64,ElectroTech,Smartphone X200
495.13,69,54.47,HomeSystems,"Smart TV 32"""
415.76,72,11.82,HomeSystems,"Smart TV 32"""
314.86,84,17.96,GadgetWorld,Wireless Earbuds Air
910.1,45,46.55,OfficePlus,Mouse Compact
316.57,91,16.11,AudioMasters,Headphones Studio
271.74,71,24.36,AudioMasters,Headphones Pro
115.28,97,2.92,AudioMasters,Headphones Studio
521.85,78,25.8,HomeSystems,"Smart TV 43"""
580.47,87,40.79,ElectroTech,Smartphone X207
89.72,109,12.58,AudioMasters,Headphones Elite
336.03,84,30.97,AudioMasters,Headphones Travel
365.15,77,37.36,AudioMasters,Headphones Elite
889.34,59,107.95,HomeSystems,"Smart TV 55"""
284.15,82,27.13,AudioMasters,Headphones Pro
652.19,59,54.22,ElectroTech,Smartphone X212
751.56,72,78.5,OfficePlus,Mouse Compact
635.91,71,54.78,ElectroTech,Smartphone X211
894.21,62,91.25,OfficePlus,Mouse Ergo
222.38,95,10.09,AudioMasters,Headphones Studio
62.73,96,9.37,HomeSystems,"Smart TV 32"""
35.15,96,4.94,HomeSystems,"Smart TV 55"""
855.95,55,49.88,HomeSystems,"Smart TV 55"""
565.67,77,80.16,HomeSystems,"Smart TV 43"""
677.72,60,45.15,GadgetWorld,Wireless Earbuds Max
851.7,62,32.16,GadgetWorld,Wireless Earbuds Pro
431.39,81,23.0,GadgetWorld,Wireless Earbuds Air
885.63,52,98.53,ElectroTech,Smartphone X203
586.71,70,14.48,GadgetWorld,Wireless Earbuds Max
599.02,67,14.36,OfficePlus,Mouse Gaming
970.33,45,116.54,ElectroTech,Smartphone X207
68.09,98,6.07,AudioMasters,Headphones Pro
391.55,76,34.11,AudioMasters,Headphones Travel
749.16,54,39.41,HomeSystems,"Smart TV 55"""
619.96,62,25.01,ElectroTech,Smartphone X211
749.82,66,106.1,ElectroTech,Smartphone X207
735.44,65,19.27,OfficePlus,Mouse Gaming
764.39,62,25.01,ElectroTech,Smartphone X212
1080.8,44,82.57,ElectroTech,Smartphone X213
